onset	duration	trial_type
0.104	0.3	error -10
570.512	0.3	error -10
574.852	0.3	error -10
643.98	0.3	error -10
794.464	0.3	error -10
945.52	0.3	error -10
1097.216	0.3	error -10
1945.236	0.3	error -10
1949.776	0.3	error -10
2098.488	0.3	error -10
2640.116	0.3	error -10
2796.416	0.3	error -10
2953.48	0.3	error -10
3111.168	0.3	error -10
3659.892	0.3	error -10
3817.192	0.3	error -10
3974.06	0.3	error -10
4522.976	0.3	error -10
4527.492	0.3	error -10
4678.732	0.3	error -10
4836.972	0.3	error -10
4995.232	0.3	error -10
5152.732	0.3	error -10
5704.672	0.3	error -10
5863.544	0.3	error -10
6022.232	0.3	error -10
6180.86	0.3	error -10
6339.56	0.3	error -10
7134.572	0.3	error -10
7139.324	0.3	error -10
7213.888	0.3	error -10
7370.204	0.3	error -10
7765.092	0.3	error -10
7846.432	0.3	error -10
8082.856	0.3	error -10
8242.32	0.3	error -10
8401.596	0.3	error -10
8559.896	0.3	error -10
8719.804	0.3	error -10
8879.08	0.3	error -10
9038.532	0.3	error -10
9595.136	0.3	error -10
9599.892	0.3	error -10
9752.4	0.3	error -10
9912.048	0.3	error -10
10071.468	0.3	error -10
10230.164	0.3	error -10
10625.576	0.3	error -10
10941.36	0.3	error -10
11099.388	0.3	error -10
11493.42	0.3	error -10
11652.328	0.3	error -10
12127.192	0.3	error -10
12131.728	0.3	error -10
12675.396	0.3	error -10
12833.436	0.3	error -10
12914.9	0.3	error -10
13148.52	0.3	error -10
13306.752	0.3	error -10
14016.864	0.3	error -10
14175.9	0.3	error -10
14734.84	0.3	error -10
14739.416	0.3	error -10
14891.164	0.3	error -10
15050.64	0.3	error -10
15209.876	0.3	error -10
15369.316	0.3	error -10
15528.74	0.3	error -10
16080.916	0.3	error -10
16240.572	0.3	error -10
16399.66	0.3	error -10
16558.924	0.3	error -10
17267.26	0.3	error -10
17271.776	0.3	error -10
17421.836	0.3	error -10
17578.68	0.3	error -10
17890.016	0.3	error -10
18046.468	0.3	error -10
18270.904	0.3	error -10
18414.232	0.3	error -10
18561.316	0.3	error -10
19105.532	0.3	error -10
19262.192	0.3	error -10
19811.1	0.3	error -10
19815.484	0.3	error -10
19965.196	0.3	error -10
20121.88	0.3	error -10
20278.724	0.3	error -10
20435.604	0.3	error -10
20981.496	0.3	error -10
21138.184	0.3	error -10
21294.96	0.3	error -10
21606.828	0.3	error -10
21763.86	0.3	error -10
21921.36	0.3	error -10
