onset	duration	trial_type
0.104	0.3	error -10
552.176	0.3	error -10
557.752	0.3	error -10
1015.396	0.3	error -10
1020.292	0.3	error -10
1297.776	0.3	error -10
1395.52	0.3	error -10
2167.236	0.3	error -10
2361.052	0.3	error -10
2553.488	0.3	error -10
2742.912	0.3	error -10
3110.504	0.3	error -10
3775.868	0.3	error -10
3780.984	0.3	error -10
4248.256	0.3	error -10
4438.5	0.3	error -10
4628.116	0.3	error -10
5100.44	0.3	error -10
5294.316	0.3	error -10
5391.1	0.3	error -10
5675.208	0.3	error -10
6437.656	0.3	error -10
6443.256	0.3	error -10
6534.048	0.3	error -10
7012.912	0.3	error -10
7399.776	0.3	error -10
7594.068	0.3	error -10
8075.136	0.3	error -10
8268.364	0.3	error -10
8461.368	0.3	error -10
8654.188	0.3	error -10
9136.776	0.3	error -10
9142.1	0.3	error -10
9328.376	0.3	error -10
9521.8	0.3	error -10
10000.976	0.3	error -10
10194.188	0.3	error -10
10580.664	0.3	error -10
11059.924	0.3	error -10
11245.428	0.3	error -10
11731.332	0.3	error -10
11736.644	0.3	error -10
12121.432	0.3	error -10
12317.328	0.3	error -10
12417.668	0.3	error -10
13098.728	0.3	error -10
13783.38	0.3	error -10
14072.076	0.3	error -10
14560.74	0.3	error -10
14654.716	0.3	error -10
15135.764	0.3	error -10
15717.656	0.3	error -10
15911.348	0.3	error -10
16199.644	0.3	error -10
16393.356	0.3	error -10
16587.232	0.3	error -10
17262.372	0.3	error -10
17267.508	0.3	error -10
17453.936	0.3	error -10
17649.016	0.3	error -10
18134.08	0.3	error -10
18327.912	0.3	error -10
18522.572	0.3	error -10
18909.96	0.3	error -10
19106.808	0.3	error -10
19393.54	0.3	error -10
19586.764	0.3	error -10
19976.488	0.3	error -10
20071.236	0.3	error -10
20263.472	0.3	error -10
20457.876	0.3	error -10
20652.124	0.3	error -10
21204.584	0.3	error -10
21364.2	0.3	error -10
21520.048	0.3	error -10
21680.32	0.3	error -10
22078.676	0.3	error -10
22477.512	0.3	error -10
22481.86	0.3	error -10
22635.324	0.3	error -10
22794.888	0.3	error -10
23032.024	0.3	error -10
23191.652	0.3	error -10
23587.416	0.3	error -10
23747.604	0.3	error -10
24143.548	0.3	error -10
24303.832	0.3	error -10
25026.352	0.3	error -10
25030.892	0.3	error -10
25265.48	0.3	error -10
25427.076	0.3	error -10
25588.452	0.3	error -10
25828.596	0.3	error -10
25989.852	0.3	error -10
26390.188	0.3	error -10
26552.092	0.3	error -10
26953.288	0.3	error -10
27114.912	0.3	error -10
27679.476	0.3	error -10
27684	0.3	error -10
28078.74	0.3	error -10
28240.548	0.3	error -10
28640.844	0.3	error -10
28802.596	0.3	error -10
29205.164	0.3	error -10
29366.42	0.3	error -10
29766.032	0.3	error -10
30248.428	0.3	error -10
30252.936	0.3	error -10
30329.656	0.3	error -10
30490.74	0.3	error -10
30729.568	0.3	error -10
30890.432	0.3	error -10
31050.848	0.3	error -10
31289.012	0.3	error -10
31449.672	0.3	error -10
31850.32	0.3	error -10
32011.18	0.3	error -10
