onset	duration	trial_type
0.104	0.3	error -10
114.612	0.3	error -10
497.46	0.3	error -10
577.176	0.3	error -10
806.244	0.3	error -10
961.916	0.3	error -10
1666	0.3	error -10
1670.352	0.3	error -10
1822.64	0.3	error -10
2215.136	0.3	error -10
2373.748	0.3	error -10
2531.652	0.3	error -10
2688.452	0.3	error -10
2925.292	0.3	error -10
3319.5	0.3	error -10
3478.556	0.3	error -10
3872.416	0.3	error -10
4267.168	0.3	error -10
4271.692	0.3	error -10
4424.572	0.3	error -10
4583.184	0.3	error -10
4976.6	0.3	error -10
5057.068	0.3	error -10
5293.1	0.3	error -10
5451.58	0.3	error -10
5609.58	0.3	error -10
5845.044	0.3	error -10
6003.312	0.3	error -10
6161.82	0.3	error -10
6398.656	0.3	error -10
6872.688	0.3	error -10
6877.2	0.3	error -10
7190.14	0.3	error -10
7349.452	0.3	error -10
7745.72	0.3	error -10
7904.216	0.3	error -10
8300.088	0.3	error -10
8459.144	0.3	error -10
8617.972	0.3	error -10
9012.004	0.3	error -10
9485.692	0.3	error -10
9490.184	0.3	error -10
9564.86	0.3	error -10
9723.356	0.3	error -10
9882.016	0.3	error -10
10118.756	0.3	error -10
10277.82	0.3	error -10
10436.292	0.3	error -10
10672.296	0.3	error -10
10831.048	0.3	error -10
11225.032	0.3	error -10
11384.836	0.3	error -10
11543.504	0.3	error -10
12019.36	0.3	error -10
12023.944	0.3	error -10
12099.868	0.3	error -10
12496.132	0.3	error -10
12656.004	0.3	error -10
13051.048	0.3	error -10
13210.568	0.3	error -10
13369.284	0.3	error -10
13606.56	0.3	error -10
13766.244	0.3	error -10
14163.232	0.3	error -10
14639.68	0.3	error -10
14644.396	0.3	error -10
14720.076	0.3	error -10
14879.76	0.3	error -10
15275.012	0.3	error -10
15434.268	0.3	error -10
15830.316	0.3	error -10
15989.224	0.3	error -10
16383.048	0.3	error -10
16539.344	0.3	error -10
16698.028	0.3	error -10
17175.684	0.3	error -10
17180.628	0.3	error -10
17256.564	0.3	error -10
17416.864	0.3	error -10
17577.512	0.3	error -10
18056.08	0.3	error -10
18216.724	0.3	error -10
18455.6	0.3	error -10
18615.84	0.3	error -10
18935.748	0.3	error -10
19095.772	0.3	error -10
19735.424	0.3	error -10
19739.972	0.3	error -10
20052.288	0.3	error -10
20291.524	0.3	error -10
20451.5	0.3	error -10
20850.116	0.3	error -10
21010.612	0.3	error -10
21408.612	0.3	error -10
21491.088	0.3	error -10
21728.324	0.3	error -10
21888.8	0.3	error -10
22446.972	0.3	error -10
22451.636	0.3	error -10
22764.692	0.3	error -10
22924.776	0.3	error -10
23083.052	0.3	error -10
23241.704	0.3	error -10
23638.976	0.3	error -10
23798.46	0.3	error -10
24196.656	0.3	error -10
24355.932	0.3	error -10
24914.836	0.3	error -10
24919.584	0.3	error -10
25073.896	0.3	error -10
25311.764	0.3	error -10
25470.256	0.3	error -10
25629.928	0.3	error -10
25788.416	0.3	error -10
25949.696	0.3	error -10
