onset	duration	trial_type
0.104	0.3	error -10
141.344	0.3	error -10
298.752	0.3	error -10
455.796	0.3	error -10
614.2	0.3	error -10
1173.66	0.3	error -10
1334.876	0.3	error -10
1417.752	0.3	error -10
1976.684	0.3	error -10
1981.428	0.3	error -10
2454.796	0.3	error -10
2615.06	0.3	error -10
2774.348	0.3	error -10
3161.792	0.3	error -10
3234.092	0.3	error -10
3448.4	0.3	error -10
3593.664	0.3	error -10
3809.752	0.3	error -10
3955.22	0.3	error -10
4244.536	0.3	error -10
4464.804	0.3	error -10
4469.12	0.3	error -10
4608.76	0.3	error -10
4825.948	0.3	error -10
4972.232	0.3	error -10
5488.544	0.3	error -10
5637.976	0.3	error -10
5788.628	0.3	error -10
6161.44	0.3	error -10
6311.108	0.3	error -10
6461.16	0.3	error -10
6915.6	0.3	error -10
6920.168	0.3	error -10
7074.992	0.3	error -10
7396.104	0.3	error -10
7633.932	0.3	error -10
8033.624	0.3	error -10
8114.864	0.3	error -10
8353.196	0.3	error -10
8591.972	0.3	error -10
8988.824	0.3	error -10
9386.656	0.3	error -10
9391.212	0.3	error -10
9545.048	0.3	error -10
9783.692	0.3	error -10
9944.916	0.3	error -10
10344.468	0.3	error -10
10505.072	0.3	error -10
10744.468	0.3	error -10
10904.744	0.3	error -10
11065.78	0.3	error -10
11304.248	0.3	error -10
12027.728	0.3	error -10
12032.292	0.3	error -10
12425.892	0.3	error -10
12585.948	0.3	error -10
12826.708	0.3	error -10
12987.876	0.3	error -10
13149.556	0.3	error -10
13310.064	0.3	error -10
13472.16	0.3	error -10
13713.512	0.3	error -10
13954.5	0.3	error -10
14116.604	0.3	error -10
14683.444	0.3	error -10
14688.172	0.3	error -10
15082.628	0.3	error -10
15242.704	0.3	error -10
15642.74	0.3	error -10
15804.616	0.3	error -10
16448.416	0.3	error -10
16453.308	0.3	error -10
16930.348	0.3	error -10
16935.088	0.3	error -10
17169.16	0.3	error -10
17330.164	0.3	error -10
17570.404	0.3	error -10
17730.26	0.3	error -10
18132.184	0.3	error -10
18293.868	0.3	error -10
18693.084	0.3	error -10
18855.376	0.3	error -10
19499.636	0.3	error -10
19504.3	0.3	error -10
19821.956	0.3	error -10
19983.624	0.3	error -10
20627.024	0.3	error -10
20631.968	0.3	error -10
20786.224	0.3	error -10
20947.452	0.3	error -10
21346.652	0.3	error -10
21828.524	0.3	error -10
21833.252	0.3	error -10
21909.58	0.3	error -10
22310.512	0.3	error -10
22472.156	0.3	error -10
22712.348	0.3	error -10
23274.26	0.3	error -10
23435.74	0.3	error -10
23836.856	0.3	error -10
24399.08	0.3	error -10
24403.216	0.3	error -10
24558.5	0.3	error -10
24798.096	0.3	error -10
24959.976	0.3	error -10
25765.796	0.3	error -10
25770.936	0.3	error -10
25925.456	0.3	error -10
26326.48	0.3	error -10
