onset	duration	trial_type
0.104	0.3	error -10
0.448	0.3	error -10
182.28	0.3	error -10
186.448	0.3	error -10
190.792	0.3	error -10
481.616	0.3	error -10
633.048	0.3	error -10
783.848	0.3	error -10
934.308	0.3	error -10
1086.736	0.3	error -10
1237.732	0.3	error -10
1386.936	0.3	error -10
1535.984	0.3	error -10
1687.236	0.3	error -10
1841.292	0.3	error -10
2687.26	0.3	error -10
2691.436	0.3	error -10
2838.54	0.3	error -10
2991.428	0.3	error -10
3144.48	0.3	error -10
3296.944	0.3	error -10
3450.396	0.3	error -10
3602.436	0.3	error -10
3755.32	0.3	error -10
3755.664	0.3	error -10
3907.796	0.3	error -10
5277.06	0.3	error -10
5281.044	0.3	error -10
5353.648	0.3	error -10
5506.32	0.3	error -10
5659.532	0.3	error -10
5811.808	0.3	error -10
5964.46	0.3	error -10
6117.896	0.3	error -10
6271.356	0.3	error -10
6423.196	0.3	error -10
7948.032	0.3	error -10
7952.176	0.3	error -10
8023.588	0.3	error -10
8175.812	0.3	error -10
8327.804	0.3	error -10
8478.872	0.3	error -10
8631.896	0.3	error -10
9240.536	0.3	error -10
9843.64	0.3	error -10
9997.264	0.3	error -10
9997.608	0.3	error -10
10533.216	0.3	error -10
10537.384	0.3	error -10
13137.56	0.3	error -10
13141.704	0.3	error -10
13441.604	0.3	error -10
13441.948	0.3	error -10
13594.98	0.3	error -10
13748.228	0.3	error -10
13901.312	0.3	error -10
14054.208	0.3	error -10
14206.52	0.3	error -10
14358.8	0.3	error -10
15727.848	0.3	error -10
15732.016	0.3	error -10
15804.48	0.3	error -10
15957.756	0.3	error -10
16111.548	0.3	error -10
16265.608	0.3	error -10
1.268	1	error -100
3756.48	1	error -100
9998.428	1	error -100
13442.768	1	error -100
