onset	duration	trial_type
19816.624	283.44	oLED
0.104	0.3	error -10
413.476	0.3	error -10
714.424	0.3	error -10
718.796	0.3	error -10
792.112	0.3	error -10
1024.972	0.3	error -10
1177.448	0.3	error -10
1407.668	0.3	error -10
1786.732	0.3	error -10
1940.568	0.3	error -10
2094.6	0.3	error -10
2324.832	0.3	error -10
2480.364	0.3	error -10
2636.012	0.3	error -10
2868.468	0.3	error -10
3262.944	0.3	error -10
3267.312	0.3	error -10
3418.344	0.3	error -10
3575.432	0.3	error -10
3732.828	0.3	error -10
4125.26	0.3	error -10
4282.748	0.3	error -10
4675.876	0.3	error -10
4834.136	0.3	error -10
5219.764	0.3	error -10
5376.452	0.3	error -10
5844.896	0.3	error -10
5849.448	0.3	error -10
5925.156	0.3	error -10
6084.4	0.3	error -10
6478.116	0.3	error -10
6635.972	0.3	error -10
7028.26	0.3	error -10
7186.116	0.3	error -10
7580.408	0.3	error -10
7739.124	0.3	error -10
8451.436	0.3	error -10
8455.916	0.3	error -10
8686.98	0.3	error -10
8846.252	0.3	error -10
9003.484	0.3	error -10
9240.748	0.3	error -10
9399.996	0.3	error -10
9557.448	0.3	error -10
9947.832	0.3	error -10
10105.532	0.3	error -10
10497.808	0.3	error -10
11050.936	0.3	error -10
11055.112	0.3	error -10
11207.808	0.3	error -10
11367.076	0.3	error -10
11762.62	0.3	error -10
11921.312	0.3	error -10
12317.964	0.3	error -10
12478.236	0.3	error -10
12874.7	0.3	error -10
13035.416	0.3	error -10
13590.024	0.3	error -10
13594.384	0.3	error -10
13985.376	0.3	error -10
14143.636	0.3	error -10
14300.948	0.3	error -10
14459.596	0.3	error -10
14615.256	0.3	error -10
14850.7	0.3	error -10
15009.996	0.3	error -10
15643.192	0.3	error -10
15802.312	0.3	error -10
16120.508	0.3	error -10
16125.268	0.3	error -10
16278.332	0.3	error -10
16514.58	0.3	error -10
16672.064	0.3	error -10
16830.572	0.3	error -10
17067.84	0.3	error -10
17305.488	0.3	error -10
17465.14	0.3	error -10
17859.904	0.3	error -10
18018.952	0.3	error -10
18732.68	0.3	error -10
18737.004	0.3	error -10
19125.084	0.3	error -10
19284.832	0.3	error -10
19682.564	0.3	error -10
19771.956	1	error -100
