onset	duration	trial_type
0.104	0.3	error -10
225.424	0.3	error -10
453.376	0.3	error -10
607.848	0.3	error -10
1159.324	0.3	error -10
1236	0.3	error -10
1397.004	0.3	error -10
1633.384	0.3	error -10
1791.46	0.3	error -10
2189.428	0.3	error -10
2588.396	0.3	error -10
2988.588	0.3	error -10
3780.76	0.3	error -10
3785.504	0.3	error -10
3936.584	0.3	error -10
4169.612	0.3	error -10
4326.608	0.3	error -10
4561.42	0.3	error -10
4951.492	0.3	error -10
5108.912	0.3	error -10
5344.06	0.3	error -10
5502.308	0.3	error -10
5737.088	0.3	error -10
6365	0.3	error -10
6369.544	0.3	error -10
6519.012	0.3	error -10
6915.328	0.3	error -10
7075.152	0.3	error -10
7311.924	0.3	error -10
7707.96	0.3	error -10
7868.032	0.3	error -10
8265.128	0.3	error -10
8504.92	0.3	error -10
8907.968	0.3	error -10
8912.544	0.3	error -10
9464.928	0.3	error -10
9626.76	0.3	error -10
9867.616	0.3	error -10
10269.492	0.3	error -10
10430.396	0.3	error -10
10669.556	0.3	error -10
10830.636	0.3	error -10
11069.604	0.3	error -10
11468.444	0.3	error -10
11473.372	0.3	error -10
11624.464	0.3	error -10
11861.004	0.3	error -10
12020.472	0.3	error -10
12258.08	0.3	error -10
12416.712	0.3	error -10
12651.112	0.3	error -10
13045.132	0.3	error -10
13440.736	0.3	error -10
13600.332	0.3	error -10
14078.496	0.3	error -10
14082.776	0.3	error -10
14237.852	0.3	error -10
14397.692	0.3	error -10
14636.432	0.3	error -10
14798.448	0.3	error -10
15436.432	0.3	error -10
15837.904	0.3	error -10
15999.176	0.3	error -10
16238.58	0.3	error -10
16717.016	0.3	error -10
16721.776	0.3	error -10
16797.688	0.3	error -10
17033.216	0.3	error -10
17193.708	0.3	error -10
17435.06	0.3	error -10
17597.948	0.3	error -10
17839.528	0.3	error -10
18001.732	0.3	error -10
18318.58	0.3	error -10
18561.18	0.3	error -10
18723.844	0.3	error -10
19282.644	0.3	error -10
19521.356	0.3	error -10
19919.112	0.3	error -10
20319.828	0.3	error -10
20482.24	0.3	error -10
20723.508	0.3	error -10
20885.928	0.3	error -10
21289.54	0.3	error -10
21936.004	0.3	error -10
21940.736	0.3	error -10
22258.792	0.3	error -10
22661.92	0.3	error -10
23065.128	0.3	error -10
23226.536	0.3	error -10
23467.976	0.3	error -10
