onset	duration	trial_type
0.104	0.3	error -10
208.172	0.3	error -10
432.352	0.3	error -10
582.608	0.3	error -10
737.652	0.3	error -10
892.668	0.3	error -10
1291.832	0.3	error -10
1450.312	0.3	error -10
2011.392	0.3	error -10
2015.924	0.3	error -10
2405.78	0.3	error -10
2566.044	0.3	error -10
2962.836	0.3	error -10
3122.668	0.3	error -10
3359.852	0.3	error -10
3518.924	0.3	error -10
3913.74	0.3	error -10
4071.456	0.3	error -10
4629.952	0.3	error -10
4634.672	0.3	error -10
4864.34	0.3	error -10
5260.168	0.3	error -10
5419.404	0.3	error -10
5814.056	0.3	error -10
5972.744	0.3	error -10
6207.96	0.3	error -10
6368.452	0.3	error -10
6767.288	0.3	error -10
7166.636	0.3	error -10
7171.796	0.3	error -10
7325.716	0.3	error -10
7964.776	0.3	error -10
8125.228	0.3	error -10
8285.284	0.3	error -10
8442.608	0.3	error -10
8601.804	0.3	error -10
8762.692	0.3	error -10
9001.328	0.3	error -10
9161.588	0.3	error -10
9557.892	0.3	error -10
9562.44	0.3	error -10
9793.888	0.3	error -10
10191.348	0.3	error -10
10352.508	0.3	error -10
10589.236	0.3	error -10
10750.672	0.3	error -10
10983.32	0.3	error -10
11144.232	0.3	error -10
11305.912	0.3	error -10
11545.784	0.3	error -10
11707.028	0.3	error -10
12268.924	0.3	error -10
12273.684	0.3	error -10
12507.708	0.3	error -10
12666.376	0.3	error -10
13068.088	0.3	error -10
13229.704	0.3	error -10
13391.808	0.3	error -10
13552.32	0.3	error -10
14195.852	0.3	error -10
14357.508	0.3	error -10
14919.104	0.3	error -10
14996.376	0.3	error -10
15558.656	0.3	error -10
15719.74	0.3	error -10
16116.744	0.3	error -10
16278.388	0.3	error -10
16518.188	0.3	error -10
16679.668	0.3	error -10
17079.716	0.3	error -10
17481.636	0.3	error -10
17486.12	0.3	error -10
17641.792	0.3	error -10
17801.828	0.3	error -10
17963.056	0.3	error -10
18204.056	0.3	error -10
18601.768	0.3	error -10
18763.228	0.3	error -10
19001.944	0.3	error -10
19161.856	0.3	error -10
19561.264	0.3	error -10
20121.112	0.3	error -10
20126.028	0.3	error -10
20601.852	0.3	error -10
20841.872	0.3	error -10
21003.492	0.3	error -10
21244.32	0.3	error -10
21644.544	0.3	error -10
21805.624	0.3	error -10
22045.44	0.3	error -10
22206.944	0.3	error -10
22687.364	0.3	error -10
22692.452	0.3	error -10
23008.136	0.3	error -10
23168.976	0.3	error -10
23407.792	0.3	error -10
23568.316	0.3	error -10
23806.34	0.3	error -10
23966.384	0.3	error -10
24125.488	0.3	error -10
