onset	duration	trial_type
0.104	0.3	error -10
197.724	0.3	error -10
737.772	0.3	error -10
742.528	0.3	error -10
892.204	0.3	error -10
1280.344	0.3	error -10
1436.22	0.3	error -10
1593.108	0.3	error -10
2142.148	0.3	error -10
2455.152	0.3	error -10
2612.592	0.3	error -10
3086.204	0.3	error -10
3090.948	0.3	error -10
3242.432	0.3	error -10
3870.56	0.3	error -10
3951.676	0.3	error -10
4341.44	0.3	error -10
4499.736	0.3	error -10
4657.604	0.3	error -10
5050.824	0.3	error -10
5209.484	0.3	error -10
5681.308	0.3	error -10
5685.996	0.3	error -10
5760.96	0.3	error -10
5919.348	0.3	error -10
6310.348	0.3	error -10
6468.416	0.3	error -10
6628.696	0.3	error -10
7024.664	0.3	error -10
7183.3	0.3	error -10
7500.768	0.3	error -10
8216.74	0.3	error -10
8221.48	0.3	error -10
8375.16	0.3	error -10
8772.708	0.3	error -10
8932.74	0.3	error -10
9092.156	0.3	error -10
9489.12	0.3	error -10
9648.792	0.3	error -10
9808.6	0.3	error -10
10365.012	0.3	error -10
10841.16	0.3	error -10
10845.908	0.3	error -10
11001.772	0.3	error -10
11238.104	0.3	error -10
11396.132	0.3	error -10
11792.328	0.3	error -10
11950.968	0.3	error -10
12110.016	0.3	error -10
12659.856	0.3	error -10
12817.936	0.3	error -10
12976.408	0.3	error -10
13449.188	0.3	error -10
13528.072	0.3	error -10
13922.036	0.3	error -10
14080.092	0.3	error -10
14238.696	0.3	error -10
14797.252	0.3	error -10
14958.564	0.3	error -10
15198.936	0.3	error -10
16083.116	0.3	error -10
16087.884	0.3	error -10
16241.144	0.3	error -10
16399.46	0.3	error -10
16559.696	0.3	error -10
16719.928	0.3	error -10
17116.24	0.3	error -10
17198.092	0.3	error -10
17753.328	0.3	error -10
17913.14	0.3	error -10
18072.732	0.3	error -10
18546.964	0.3	error -10
18551.732	0.3	error -10
18702.152	0.3	error -10
