onset	duration	trial_type
0.104	0.3	error -10
0.448	0.3	error -10
58.276	0.3	error -10
210.556	0.3	error -10
591.9	0.3	error -10
595.84	0.3	error -10
1124.912	0.3	error -10
1279.36	0.3	error -10
1433.248	0.3	error -10
1586.884	0.3	error -10
1740.968	0.3	error -10
1894.592	0.3	error -10
2044.892	0.3	error -10
2195.756	0.3	error -10
2196.1	0.3	error -10
2347.836	0.3	error -10
2498.292	0.3	error -10
2650.096	0.3	error -10
3185.78	0.3	error -10
3189.924	0.3	error -10
4324.936	0.3	error -10
4783.232	0.3	error -10
5241.188	0.3	error -10
5773.812	0.3	error -10
5777.78	0.3	error -10
7670.344	0.3	error -10
8342.348	0.3	error -10
8346.276	0.3	error -10
8488.756	0.3	error -10
8635.416	0.3	error -10
8782.7	0.3	error -10
9734.52	0.3	error -10
9880.956	0.3	error -10
10027.056	0.3	error -10
10172.688	0.3	error -10
10765.672	0.3	error -10
10769.824	0.3	error -10
10840.864	0.3	error -10
10990.284	0.3	error -10
11140.764	0.3	error -10
11291.612	0.3	error -10
11442.228	0.3	error -10
11592.468	0.3	error -10
12042.912	0.3	error -10
13244.404	0.3	error -10
13248.532	0.3	error -10
13320.332	0.3	error -10
13471.2	0.3	error -10
13622.064	0.3	error -10
13772.092	0.3	error -10
14891.344	0.3	error -10
15714.12	0.3	error -10
15714.464	0.3	error -10
15718.8	0.3	error -10
15789.356	0.3	error -10
15939.056	0.3	error -10
16682.72	0.3	error -10
17168.796	0.3	error -10
17309.252	0.3	error -10
17450.508	0.3	error -10
17589.764	0.3	error -10
18083.512	0.3	error -10
18087.284	0.3	error -10
18223.372	0.3	error -10
18365.016	0.3	error -10
18505.436	0.3	error -10
18645.076	0.3	error -10
19269.5	0.3	error -10
19408.576	0.3	error -10
19548.628	0.3	error -10
19688.032	0.3	error -10
20382.484	0.3	error -10
20386.436	0.3	error -10
20452.204	0.3	error -10
20591.8	0.3	error -10
20938.512	0.3	error -10
21078.972	0.3	error -10
21218.84	0.3	error -10
21359.588	0.3	error -10
21501.848	0.3	error -10
21859.724	0.3	error -10
22004.404	0.3	error -10
22144.652	0.3	error -10
22630.308	0.3	error -10
22634.044	0.3	error -10
22767.176	0.3	error -10
22906.024	0.3	error -10
23045.272	0.3	error -10
1.268	1	error -100
2196.916	1	error -100
15715.284	1	error -100
