onset	duration	trial_type
0.104	0.3	error -10
0.448	0.3	error -10
426.524	0.3	error -10
430.9	0.3	error -10
581.452	0.3	error -10
733.164	0.3	error -10
887.216	0.3	error -10
1041.284	0.3	error -10
1192.148	0.3	error -10
1192.492	0.3	error -10
1344.04	0.3	error -10
1498.312	0.3	error -10
2957.008	0.3	error -10
2961.176	0.3	error -10
3107.904	0.3	error -10
3260.628	0.3	error -10
3413.012	0.3	error -10
3566.116	0.3	error -10
3718.344	0.3	error -10
3871.216	0.3	error -10
4023.804	0.3	error -10
4176.688	0.3	error -10
5629.524	0.3	error -10
5633.696	0.3	error -10
5776.52	0.3	error -10
5928.168	0.3	error -10
6080.628	0.3	error -10
6233.536	0.3	error -10
6386.208	0.3	error -10
6538.86	0.3	error -10
6691.74	0.3	error -10
6843.808	0.3	error -10
6996.504	0.3	error -10
8211.912	0.3	error -10
8216.072	0.3	error -10
8288.712	0.3	error -10
8440.636	0.3	error -10
8593.5	0.3	error -10
8746.396	0.3	error -10
8899.848	0.3	error -10
9053.908	0.3	error -10
9206.968	0.3	error -10
9360.044	0.3	error -10
9512.936	0.3	error -10
9666.452	0.3	error -10
9820.312	0.3	error -10
10434.612	0.3	error -10
10893.36	0.3	error -10
10897.456	0.3	error -10
10969.908	0.3	error -10
11123.756	0.3	error -10
11277.068	0.3	error -10
11430.976	0.3	error -10
11584.468	0.3	error -10
11584.812	0.3	error -10
11737.436	0.3	error -10
11890.692	0.3	error -10
12043.592	0.3	error -10
12196.416	0.3	error -10
12350.14	0.3	error -10
12350.484	0.3	error -10
12656.184	0.3	error -10
13499.472	0.3	error -10
13503.432	0.3	error -10
13650.896	0.3	error -10
13803.612	0.3	error -10
13803.956	0.3	error -10
13956.8	0.3	error -10
14110.452	0.3	error -10
14723.544	0.3	error -10
15489.548	0.3	error -10
16103.568	0.3	error -10
16107.688	0.3	error -10
16181.124	0.3	error -10
16334.74	0.3	error -10
16488.796	0.3	error -10
16642.476	0.3	error -10
16796.596	0.3	error -10
16948.68	0.3	error -10
17099.784	0.3	error -10
17254.296	0.3	error -10
17254.64	0.3	error -10
17407.608	0.3	error -10
17561.5	0.3	error -10
17561.844	0.3	error -10
18172.76	0.3	error -10
18326.04	0.3	error -10
18784.052	0.3	error -10
18788.184	0.3	error -10
18861.052	0.3	error -10
19015.56	0.3	error -10
19169.652	0.3	error -10
19324.304	0.3	error -10
19324.644	0.3	error -10
19478.356	0.3	error -10
19633.052	0.3	error -10
19787.748	0.3	error -10
21321.5	0.3	error -10
21325.836	0.3	error -10
1.268	1	error -100
1193.308	1	error -100
11585.628	1	error -100
12351.304	1	error -100
13804.776	1	error -100
17255.46	1	error -100
17562.664	1	error -100
19325.464	1	error -100
