onset	duration	trial_type
0.104	0.3	error -10
0.448	0.3	error -10
110.604	0.3	error -10
267.456	0.3	error -10
661.472	0.3	error -10
981.152	0.3	error -10
985.884	0.3	error -10
1140.124	0.3	error -10
1535.336	0.3	error -10
1695.152	0.3	error -10
1932.972	0.3	error -10
2093.188	0.3	error -10
2490.636	0.3	error -10
2650.72	0.3	error -10
3048.4	0.3	error -10
3530.116	0.3	error -10
3605.888	0.3	error -10
3765.16	0.3	error -10
4164.024	0.3	error -10
4324.64	0.3	error -10
4723.116	0.3	error -10
4883.644	0.3	error -10
5122.08	0.3	error -10
5282.168	0.3	error -10
5678.408	0.3	error -10
6076.512	0.3	error -10
6081.016	0.3	error -10
6234.116	0.3	error -10
6394.184	0.3	error -10
6632.964	0.3	error -10
6714.048	0.3	error -10
6953.856	0.3	error -10
7194.32	0.3	error -10
7355.356	0.3	error -10
7753.592	0.3	error -10
7914.444	0.3	error -10
8153.264	0.3	error -10
8713.604	0.3	error -10
8718.284	0.3	error -10
8871.404	0.3	error -10
9108.64	0.3	error -10
9268.348	0.3	error -10
9662.364	0.3	error -10
9822.016	0.3	error -10
10060.052	0.3	error -10
10220.1	0.3	error -10
10457.044	0.3	error -10
10616.32	0.3	error -10
11249.212	0.3	error -10
11253.788	0.3	error -10
11565.884	0.3	error -10
11725.476	0.3	error -10
11884.352	0.3	error -10
12124.312	0.3	error -10
12524.312	0.3	error -10
12685.432	0.3	error -10
12924.992	0.3	error -10
13086.296	0.3	error -10
13730.616	0.3	error -10
13808.968	0.3	error -10
14048.496	0.3	error -10
14209.384	0.3	error -10
14608.796	0.3	error -10
14769.028	0.3	error -10
15007.408	0.3	error -10
15167.08	0.3	error -10
15404.908	0.3	error -10
15564.96	0.3	error -10
15956.232	0.3	error -10
16430.912	0.3	error -10
16435.664	0.3	error -10
16512.308	0.3	error -10
16914.364	0.3	error -10
17076.024	0.3	error -10
17473.28	0.3	error -10
17870.136	0.3	error -10
18029.54	0.3	error -10
18265.376	0.3	error -10
18425.084	0.3	error -10
18904.616	0.3	error -10
19138.072	0.3	error -10
19375.708	0.3	error -10
19768.948	0.3	error -10
19927.98	0.3	error -10
20322.26	0.3	error -10
20481.576	0.3	error -10
20718.792	0.3	error -10
20878.248	0.3	error -10
21114.716	0.3	error -10
21588.352	0.3	error -10
21593.124	0.3	error -10
21668.588	0.3	error -10
21828.4	0.3	error -10
22062.984	0.3	error -10
22219.272	0.3	error -10
1.268	1	error -100
