onset	duration	trial_type
9300.148	14355.02	oLED
0.104	0.3	error -10
322.856	0.3	error -10
326.832	0.3	error -10
330.956	0.3	error -10
400.8	0.3	error -10
547.416	0.3	error -10
696.508	0.3	error -10
849.564	0.3	error -10
1003.876	0.3	error -10
1155.392	0.3	error -10
2077.7	0.3	error -10
2230	0.3	error -10
2383.496	0.3	error -10
2766.116	0.3	error -10
2770.268	0.3	error -10
2842.696	0.3	error -10
2995.804	0.3	error -10
3148.644	0.3	error -10
3301.456	0.3	error -10
5441.08	0.3	error -10
5445.08	0.3	error -10
5517.332	0.3	error -10
5670.608	0.3	error -10
5822.66	0.3	error -10
5974.912	0.3	error -10
6128.204	0.3	error -10
6281.268	0.3	error -10
6434.34	0.3	error -10
6586.232	0.3	error -10
7044.212	0.3	error -10
8112.072	0.3	error -10
8116.224	0.3	error -10
8188.224	0.3	error -10
8340.692	0.3	error -10
8493.98	0.3	error -10
8646.32	0.3	error -10
8799.372	0.3	error -10
8952.28	0.3	error -10
9105.752	0.3	error -10
9258.82	0.3	error -10
9262.964	1	error -100
