onset	duration	trial_type
0.104	0.3	error -10
187.12	0.3	error -10
341.412	0.3	error -10
952.032	0.3	error -10
956.916	0.3	error -10
1345.796	0.3	error -10
1350.736	0.3	error -10
1427.66	0.3	error -10
1826.236	0.3	error -10
1985.928	0.3	error -10
2223.7	0.3	error -10
2384.98	0.3	error -10
2783.816	0.3	error -10
2943.264	0.3	error -10
3175.828	0.3	error -10
3333.472	0.3	error -10
3895.728	0.3	error -10
3900.716	0.3	error -10
4133.74	0.3	error -10
4294.628	0.3	error -10
4693.372	0.3	error -10
4853.848	0.3	error -10
5251.664	0.3	error -10
5648.928	0.3	error -10
5808.612	0.3	error -10
5967.456	0.3	error -10
6366.264	0.3	error -10
6371.028	0.3	error -10
6604.448	0.3	error -10
6764.488	0.3	error -10
7000.452	0.3	error -10
7161.776	0.3	error -10
7322.852	0.3	error -10
7562.656	0.3	error -10
7723.064	0.3	error -10
8122.66	0.3	error -10
8281.14	0.3	error -10
8442.42	0.3	error -10
9400.884	0.3	error -10
9561.752	0.3	error -10
9799.328	0.3	error -10
9959.388	0.3	error -10
10357.276	0.3	error -10
10517.176	0.3	error -10
10675.04	0.3	error -10
10834.308	0.3	error -10
10993.7	0.3	error -10
11624.036	0.3	error -10
11628.8	0.3	error -10
11860.404	0.3	error -10
12021.676	0.3	error -10
12340.552	0.3	error -10
12501.592	0.3	error -10
12740.156	0.3	error -10
12901.628	0.3	error -10
13301.48	0.3	error -10
13541.432	0.3	error -10
14180.88	0.3	error -10
14185.376	0.3	error -10
14341.02	0.3	error -10
14500.46	0.3	error -10
14900.148	0.3	error -10
15060.38	0.3	error -10
15297.424	0.3	error -10
15455.896	0.3	error -10
15856.916	0.3	error -10
16017.956	0.3	error -10
16821.212	0.3	error -10
16825.744	0.3	error -10
17222.004	0.3	error -10
17623.868	0.3	error -10
17785.644	0.3	error -10
18508.904	0.3	error -10
18513.864	0.3	error -10
18830.348	0.3	error -10
19312.928	0.3	error -10
19317.64	0.3	error -10
19472.868	0.3	error -10
19633.768	0.3	error -10
20032.492	0.3	error -10
20192.316	0.3	error -10
20591.288	0.3	error -10
20748.928	0.3	error -10
20988.376	0.3	error -10
21150.208	0.3	error -10
21548.208	0.3	error -10
22030.612	0.3	error -10
22035.368	0.3	error -10
22189.048	0.3	error -10
22350.488	0.3	error -10
22511.34	0.3	error -10
22670.788	0.3	error -10
23067	0.3	error -10
23227.8	0.3	error -10
23466.256	0.3	error -10
23626.916	0.3	error -10
23866.132	0.3	error -10
24495.928	0.3	error -10
24500.472	0.3	error -10
24577.008	0.3	error -10
24738.448	0.3	error -10
24976.46	0.3	error -10
25137.088	0.3	error -10
25373.92	0.3	error -10
25535.016	0.3	error -10
25933.772	0.3	error -10
26094.064	0.3	error -10
26331.212	0.3	error -10
26491.464	0.3	error -10
27049.76	0.3	error -10
27054.3	0.3	error -10
27285.308	0.3	error -10
27445.204	0.3	error -10
27841.94	0.3	error -10
28001.236	0.3	error -10
28394.06	0.3	error -10
28711.76	0.3	error -10
29188.54	0.3	error -10
29661.232	0.3	error -10
29665.996	0.3	error -10
29741.52	0.3	error -10
