onset	duration	trial_type
0.104	0.3	error -10
298.636	0.3	error -10
303.184	0.3	error -10
377.44	0.3	error -10
535.34	0.3	error -10
692.228	0.3	error -10
1165.932	0.3	error -10
1170.84	0.3	error -10
1324.5	0.3	error -10
1484.784	0.3	error -10
1643.868	0.3	error -10
1964.668	0.3	error -10
2452.996	0.3	error -10
2528.708	0.3	error -10
2690.576	0.3	error -10
2931.708	0.3	error -10
3093.964	0.3	error -10
3334.816	0.3	error -10
3496.64	0.3	error -10
3737.836	0.3	error -10
3899.664	0.3	error -10
4138.864	0.3	error -10
4300.896	0.3	error -10
4541.504	0.3	error -10
5108.756	0.3	error -10
5757.324	0.3	error -10
5762.66	0.3	error -10
5917.904	0.3	error -10
6160.156	0.3	error -10
6322.58	0.3	error -10
6726.524	0.3	error -10
7209.508	0.3	error -10
7294.332	0.3	error -10
7299.08	0.3	error -10
7695.008	0.3	error -10
7935.392	0.3	error -10
8098.492	0.3	error -10
8502.092	0.3	error -10
8664.088	0.3	error -10
9069.092	0.3	error -10
9888.464	0.3	error -10
10044.728	0.3	error -10
10371.572	0.3	error -10
10533.824	0.3	error -10
11021.348	0.3	error -10
11184.828	0.3	error -10
11590.692	0.3	error -10
11831.756	0.3	error -10
11994.636	0.3	error -10
12481.768	0.3	error -10
12486.668	0.3	error -10
12805.444	0.3	error -10
13209.424	0.3	error -10
13613.88	0.3	error -10
14020.712	0.3	error -10
14183.16	0.3	error -10
14426.516	0.3	error -10
14589.536	0.3	error -10
15077.724	0.3	error -10
15082.692	0.3	error -10
15402.16	0.3	error -10
15565.224	0.3	error -10
15808.784	0.3	error -10
15972.576	0.3	error -10
16215.988	0.3	error -10
16378.596	0.3	error -10
16783.908	0.3	error -10
16944.964	0.3	error -10
17679.432	0.3	error -10
17684.38	0.3	error -10
17919.448	0.3	error -10
18081.752	0.3	error -10
18245.232	0.3	error -10
18651.104	0.3	error -10
18811.756	0.3	error -10
19218.256	0.3	error -10
19382.356	0.3	error -10
20287.032	0.3	error -10
20686.908	0.3	error -10
20851.16	0.3	error -10
21097.116	0.3	error -10
21260.764	0.3	error -10
21586.86	0.3	error -10
21829.868	0.3	error -10
21994.28	0.3	error -10
22238.872	0.3	error -10
22402.876	0.3	error -10
23059	0.3	error -10
23137.46	0.3	error -10
23300.72	0.3	error -10
23706.712	0.3	error -10
23871.164	0.3	error -10
24115.02	0.3	error -10
24279.06	0.3	error -10
